variable,section,retain,reverse_code,intercept,slope,label
response_id,plumbing,TRUE,FALSE,NA,NA,ResponseID
response_set,plumbing,TRUE,FALSE,NA,NA,ResponseSet
na,plumbing,FALSE,FALSE,NA,NA,Name
na,plumbing,FALSE,FALSE,NA,NA,ExternalDataReference
na,plumbing,FALSE,FALSE,NA,NA,Status
na,plumbing,FALSE,FALSE,NA,NA,StartDate
na,plumbing,FALSE,FALSE,NA,NA,EndDate
na,plumbing,FALSE,FALSE,NA,NA,Finished
na,plumbing,FALSE,FALSE,NA,NA,Score-sum
na,plumbing,FALSE,FALSE,NA,NA,Score-weightedAvg
na,plumbing,FALSE,FALSE,NA,NA,Score-weightedStdDev
na,plumbing,FALSE,FALSE,NA,NA,"My name is Bryan Ray, and I am a graduate student in Educational Psychology at the University of..."
one_child_at_least,demographics,TRUE,FALSE,NA,NA,Are you a father with at least one child in elementary school?
live_with_child,demographics,TRUE,FALSE,NA,NA,Do you live with your child that is in elementary school?
sexual_orientation,demographics,TRUE,FALSE,NA,NA,What is your sexual orientation?
live_with_mother,demographics,TRUE,FALSE,NA,NA,Do you live with the mother of your children?
is_married,demographics,TRUE,FALSE,NA,NA,Are you married?
married_duration,demographics,TRUE,FALSE,NA,NA,How long have you been married to your spouse?
education,demographics,TRUE,FALSE,NA,NA,What is the highest level of education you have completed?
age,demographics,TRUE,FALSE,NA,NA,Age:
income_category,demographics,TRUE,FALSE,NA,NA,What is your current household annual income? (gross income)
child_in_home_count,demographics,TRUE,FALSE,NA,NA,How many children are living in your home
race,demographics,TRUE,FALSE,NA,NA,Which Race/Ethnicity best describes you?
race_other,demographics,TRUE,FALSE,NA,NA,Which Race/Ethnicity best describes you?-TEXT
religion,demographics,TRUE,FALSE,NA,NA,Religious preference
relation_biodad,demographics,TRUE,FALSE,NA,NA,Describe your relationship to the elementary-aged children living in your home (Check all that ap...-Biological father
relation_step,demographics,TRUE,FALSE,NA,NA,Describe your relationship to the elementary-aged children living in your home (Check all that ap...-Step-father
relation_adoptive,demographics,TRUE,FALSE,NA,NA,Describe your relationship to the elementary-aged children living in your home (Check all that ap...-Adoptive father
relation_other,demographics,TRUE,FALSE,NA,NA,Describe your relationship to the elementary-aged children living in your home (Check all that ap...-Other
relation_other_text,demographics,TRUE,FALSE,NA,NA,Describe your relationship to the elementary-aged children living in your home (Check all that ap...-Other-TEXT
work_hours_outside,demographics,TRUE,FALSE,NA,NA,How many hours per week to you spend working outside of the home?
work_hours_spouse_outside,demographics,TRUE,FALSE,NA,NA,How many hours per week does your partner spend working outside of the home?
encourage_childcare_tasks,autonomy,TRUE,FALSE,0,1,How often does YOUR SPOUSE/PARTNER do the following things to encourage you to be involved in chi...-Tell you to do a child care task. (?Go wash Tyler?s face.?)
encourage_ask_help,autonomy,TRUE,FALSE,0,1,How often does YOUR SPOUSE/PARTNER do the following things to encourage you to be involved in chi...-Ask you politely to help (?Can you wash Tyler?s face please??)
encourage_compliment,autonomy,TRUE,FALSE,0,1,"How often does YOUR SPOUSE/PARTNER do the following things to encourage you to be involved in chi...-Compliment you (""You're able to calm Tyler down better than I can."")"
encourage_invite_help,autonomy,TRUE,FALSE,0,1,"How often does YOUR SPOUSE/PARTNER do the following things to encourage you to be involved in chi...-Invite you to help (""Wouldn't you like to read to Tyler?"")"
encourage_refuse,autonomy,TRUE,FALSE,0,1,"How often does YOUR SPOUSE/PARTNER do the following things to encourage you to be involved in chi...-Refuse to do it him/herself (""I'm not giving Tyler a bath. Its' your turn)"
